region_code,value_type,year,month,avg_mwh,min_mwh,max_mwh,stddev_mwh,n_hours
CAL,D,2023,8,37306.44,25998.00,54130.00,6246.21,685
CAL,D,2023,9,32210.02,24089.00,46913.00,4493.95,720
CAL,D,2023,10,30062.29,22224.00,44848.00,4154.88,744
CAL,D,2023,11,28153.77,21313.00,34048.00,2823.89,720
CAL,D,2023,12,28898.03,23899.00,34631.00,2623.95,744
CAL,D,2024,1,28548.32,22645.00,34727.00,2648.36,744
CAL,D,2024,2,27880.97,21355.00,34610.00,2676.46,696
CAL,D,2024,3,26292.05,19655.00,32463.00,2415.24,744
CAL,D,2024,4,26031.53,19744.00,32112.00,2474.52,720
CAL,D,2024,5,27792.14,18941.00,36742.00,3064.36,744
CAL,D,2024,6,32466.95,24258.00,46319.00,4820.15,720
CAL,D,2024,7,37846.48,26389.00,54947.00,6415.85,744
CAL,D,2024,8,37469.25,25807.00,52782.00,6151.86,744
CAL,D,2024,9,34955.11,24325.00,58867.00,7261.05,720
CAL,D,2024,10,31719.08,23390.00,49933.00,5340.13,744
CAL,D,2024,11,28532.96,21488.00,33928.00,2700.98,720
CAL,D,2024,12,29504.29,23678.00,35555.00,2826.64,744
CAL,D,2025,1,28858.18,23780.00,34754.00,2509.54,744
CAL,D,2025,2,28308.26,22775.00,35309.00,2749.67,672
CAL,D,2025,3,27410.84,20325.00,34239.00,2690.52,744
CAL,D,2025,4,27722.52,20857.00,34223.00,2520.34,720
CAL,D,2025,5,29939.86,23401.00,44931.00,3846.35,744
CAL,D,2025,6,33007.33,24505.00,45371.00,4316.21,720
CAL,D,2025,7,34712.21,19427.00,49174.00,4756.77,744
CAL,D,2025,8,38012.87,26748.00,54517.00,6090.12,744
CAL,D,2025,9,36230.26,25772.00,52635.00,5797.38,720
CAL,D,2025,10,30034.96,23211.00,37590.00,3406.57,744
CAL,D,2025,11,28968.53,22883.00,35930.00,3072.82,720
CAL,D,2025,12,30128.95,21373.00,37063.00,3282.45,744
CAL,D,2026,1,29289.24,21665.00,35422.00,3057.07,744
CAL,D,2026,2,29129.10,22820.00,36788.00,3075.65,672
CAL,D,2026,3,30181.62,22981.00,44406.00,4163.69,744
CAL,D,2026,4,28446.19,21843.00,35806.00,2736.62,720
CAL,D,2026,5,29859.32,23351.00,40855.00,3467.32,744
CAL,D,2026,6,33920.45,24835.00,48325.00,4883.30,720
CAL,D,2026,7,38514.99,26122.00,54147.00,6423.54,744
CAL,D,2026,8,38730.75,29670.00,51111.00,6605.39,36
CAL,DF,2023,8,37381.78,26741.00,56974.00,6904.13,685
CAL,DF,2023,9,31670.23,21963.00,48041.00,4950.23,720
CAL,DF,2023,10,29427.29,19179.00,44933.00,4601.39,744
CAL,DF,2023,11,27213.76,18838.00,34309.00,3195.88,720
CAL,DF,2023,12,27985.35,20609.00,34872.00,3054.36,744
